,Word,Count,Weight,Weight_Abs
12330,betrayed,13,-1.5501379734636882,1.5501379734636882
8526,honeymoon,28,-1.5501379734636882,1.5501379734636882
4438,symbicort,104,-1.5501379734636882,1.5501379734636882
10562,lichen,18,-1.5501379734636882,1.5501379734636882
8820,irritates,26,-1.5501379734636882,1.5501379734636882
8404,headachy,29,-1.5501379734636882,1.5501379734636882
11234,drowiness,16,-1.5501379734636882,1.5501379734636882
11569,bitchiness,15,-1.5501379734636882,1.5501379734636882
11793,crazier,14,-1.5501379734636882,1.5501379734636882
4813,infertility,88,-1.5501379734636882,1.5501379734636882
8642,regulates,28,-1.5501379734636882,1.5501379734636882
11531,ungodly,15,-1.5501379734636882,1.5501379734636882
